Passengers
5141123
4753591
5708627
5573022
5636621
6000208
6456943
6120139
6042020
5713074
5208222
5332860
5112718
4734688
5491143
5811931
5716741
6122230
6533091
5987755
5896743
5630492
5099094
5206233
5013163
4641466
5646977
5667573
5610629
6014542
6419432
6378156
6022156
5844064
5221947
5374953
4957887
4704906
4445141
5467910
5645161
5958635
6417660
6365717
5802706
5630399
4971829
5251674
4853191
4370846
5193571
5612596
5424789
5775828
6477476
6383692
5783611
5687438
5028739
5316129
4830092
4600406
5211877
4446530
5255772
5783051
6705882
6542496
6221219
6097490
5243163
4809195
5052726
4621717
5331451
5848560
5865558
6146986
6872514
6585442
6310903
6019465
5218862
5517264
5169518
4798785
5697132
5849171
5831840
6245553
6569647
6459119
6345935
6011761
5381138
5625269
5184924
4848548
5921068
5806681
6105232
6531933
6930334
6959544
6559112
6289291
5411354
5784898
5383877
4898467
5753321
6193738
6236718
6600652
6965356
7051073
6577692
6315187
5473031
5925713
5454689
4954259
5950930
6144333
6342533
6675186
7292273
7333100
6766212
6562401
5582081
5901061
5507719
5179374
6100967
6047226
6292660
6607388
7444112
7338852
6792807
6480589
5721133
6163396
5739466
5266321
6155844
6731652
6476024
6758018
7532422
7480285
6928800
6663671
5920389
6335860
5804671
5391855
6492752
6581579
6676963
7124524
7812309
7671950
6982147
6954019
6113761
6495487
5927543
5482288
6527489
6798212
6768903
7246563
7754139
7680327
6777115
6994212
6233801
6696079
6099370
5442081
3106845
206600
228018
350283
866655
1418683
1256479
1245624
746954
1143417
677356
461188
541669
536039
675214
956689
1510845
2232326
2571199
3043258
3065774
3121588
2598556
2863496
4196656
5081426
5341351
5990385
